CATEGORY NAME,BRAND,PLCDE,PLDESC,PLTEXT,SIZE,PRICE, VAT,    RRP,B,F,G,O,S,V
FRUIT & VEGETABLE JUICES,BIONA,JU127,Cranberry Juice 100% Pure,Organic,6 X 750ML,30.94,1,8.25,,,G,O,,V
DAIRY DESSERTS (FROZEN),YEO VALLEY,XL341,Greek Yoghurt&Honey Ice Cream,,6 X 900ML,15.67,1,4.19,,,,O,S,
BEANS & PULSES - DRIED,SUMA COMMODITIES - ORGANIC,PU059,Yellow Split Peas - organic,,25 KG,35,,,,,G,O,,V
FRUIT & VEGETABLE JUICES,CAWSTON PRESS,JU345,Vintage Lemonade,,8 X 330ML,7.84,1,1.49,,,G,,,V
BAKING SUNDRIES,SUMA,LJ223,Xanthan Gum,,6 X 100G,25.6,1,6.85,,,G,,,V
READY MEALS (FROZEN),CLIVE'S,XL026,Gluten Free Aloo Gobi Pie,,6 X 250G,12.72,,2.85,,,G,O,S,V
SNACK BARS & FLAPJACKS,CREATIVE NATURE,KB275,Heavenly Cacao Bar,Cacao & Cranberries,20 X 38G,14.85,,0.99,,,,,,V
YOGURTS; COWS MILK (CHILLED),THE COLLECTIVE DAIRY,CV183,Gourmet Russian Fudge Yoghurt,,6 X 500G,12.43,,2.49,,,G,,S,
TABLE SAUCES,ATKINS & POTTS,KJ120,Bramley Apple Sauce,,6 X 225G,10.54,,2.35,,,G,,S,V
FRUIT - DRIED,SUMA PREPACKS,DR084,Cranberries,,6 X 250G,10.29,,2.29,,,G,,S,V
TEAS,CLEARSPRING,JP210,Genmaicha Green Tea Bags,green tea + roasted rice,6 X 20 BAGS,16.16,,3.59,,,G,O,,V
JAMS & FRUIT SPREADS,ST DALFOUR,JS063,Blackberry Spread,,6 X 284G,9.07,,2.05,,,G,,,V
BODYCARE,WELEDA,DY233,Spray Deodorant - Sage,with pure essential oils,6 X 30ML,20.82,1,5.95,,,,,,V
HERB & FRUIT INFUSIONS,DR STUARTS,TE224,Detox,,6 X 15 BAGS,9.86,,2.19,,,G,,,V
SOFT DRINKS,EQUINOX,JU242,Kombucha Original,,20 X 275ML,21.13,1,1.69,,,G,O,S,V
HOUSEHOLD CLEANING PRODUCTS,ECOVER,HJ011,Toilet Cleaner Ocean Waves,,6 X 750ML,7.59,1,2.05,,,,,,V
BABY & CHILD FOOD,ORGANIX,BB246,App/Blackcurrant & App/Raspbry,Dual Pots,6 X 4 X 100G,9.77,,2.19,,,G,O,,V
HERB & FRUIT INFUSIONS,EQUAL EXCHANGE,TE562,Rooibos - organic,,6 X 40 BAGS,11.67,,2.59,,F,G,O,,V
BODYCARE,FAITH,DY512,Grapefruit & Orange Shampoo,,6 X 400ML,18.73,1,5.35,,,,,,V
SOFT DRINKS,FENTIMANS,JU281,Dandelion & Burdock,,8 X 750ML,15.32,1,3.05,,,G,,S,V
PICKLES; CHUTNEYS & MUSTARDS,FOSTERS,KJ147,Plum & Mulled Wine Chutney,,12 X 300G,28.82,,3.25,,,G,,S,
HONEY,FRUIT TREE,GH075,Acacia/Hazelnut Raw Nut Honey,,12 X 230G,53.83,,5.99,,,,,,
DESSERTS,REALLY NOT DAIRY,SY110,Peach & Apricot Soya Dessert,,12 X 125G,3.67,,0.42,,,G,,,V
HERBS & SPICES - PREPACKED,SUMA,HE116,Chilli Flakes,AKA Crushed Chillies,6 X 25G,3.82,,0.85,,,G,,,V
FRUIT - DRIED,SUMA PREPACKS,DR182,Ginger - crystallised,,6 X 250G,8.5,1,2.25,,,G,,S,V
BODYCARE,TINTS OF NATURE,DY106,Mahogany Red,TNSMR,1 X 90ML,4.8,1,8.99,,,,,,V
BABYCARE PRODUCTS,BEAMING BABY,NF634,Bio Degradable Nappy - Midi,5 - 9kg / Size 2,4 X 40,29.95,,10.15,,,,,,V
TOOTHCARE,GREEN PEOPLE COMPANY,DY216,Minty Cool,Sensitive Gums & Dry Mouths,12 X 50ML,24.36,1,3.5,,,,,,V
HOUSEHOLD CLEANING PRODUCTS,GREENFROG,HJ223,Natural Handsoap,,6 X 500ML,15.3,1,3.99,,,G,,,
TEAS,HAMPSTEAD TEA,TE332,Ginger Green tea - og,Single estate,6 X 25BAGS,8.96,,1.99,B,,G,O,,V
BISCUITS CRACKERS & CRISPBREAD,KALLO,BT031,Fairtrade Rice Cake No Salt OG,Thick Slice,6 X 130G,8.06,,1.79,,F,G,O,,V
HONEY,LITTLEOVER APIARIES,HY043,Manuka and Wildflower Honey,,4 X 340G,14.21,,4.75,,,G,,,
CHEESE; COWS MILK (CHILLED),LONGLEY FARM,CV274,Natural Low Fat Cottage Cheese,,12 X 250G,11.2,,1.25,,,G,,,
NON-DAIRY DESSERTS (FROZEN),MAMMA CUCINA,XL406,Vanilla Soya Desert,,6 X 750ML,11.21,1,2.99,,,G,,S,V
SOFT DRINKS,BELVOIR,JU648,Orange & Mandarin Presse - og,,24 X 250ML,21.6,1,1.45,,,G,O,S,V
SUGARS & SYRUPS,MERIDIAN,HY038,Pure Cane Molasses,,6 X 740G,13.45,,2.99,,,G,,S,V
NUTS & SEEDS,SUMA BAGGED DOWN - ORGANIC,NU287,Omega Seed Mix - organic,pumpkin/sunflwr/linseed/sesame,5 KG,22.15,,,,,G,O,,V
CHOCOLATE,MOO FREE,KB814,Dairy Free Chocolate Drops,,25 X 35G,15.5,1,0.99,,,G,O,S,V
MUESLIS & BREAKFAST CEREALS,SUMA BULK MUESLI - ORGANIC,MX037,Plain & Simple Muesli Base -Og,,20 KG,31.59,,,,,,O,,V
HOUSEHOLD PRODUCTS,NAMASTE,NF177,Green Floral Cotton Bath Mats,,3 X 1,11.23,1,5.99,,F,,,,
SUPPLEMENTS & REMEDIES,NATURAL EAR CANDLE COMPANY,MD096,Ear Candle - Lavender/Rosemary,,12 X PAIR,57.36,1,8.79,,,,,,
FLOURS & BREAD MIXES,SUMA PREPACKS - ORGANIC,FG205,Soya Flour - organic,Full Fat,6 X 250G,6.3,,1.45,,,G,O,,V
SUGARS & SYRUPS,SUMA,HY019,Malt Extract,,3.18 KG,9.28,,,,,,,,V
NON-DAIRY DESSERTS (FROZEN),OKOBAY,XL404,Coconut & Pineapple Water Ice,,10 X 3X105ML,21.29,1,3.49,,,G,,,V
CHOCOLATE,ORGANIC SEED & BEAN COMPANY,KB979,58% Dark Choc;Lemon & Cardamon,,8 X 85G,11.95,1,2.39,,F,G,O,S,
FAR EASTERN FOOD,BLUE DRAGON,VF417,Bean Sprouts,,6 X 410G,6.75,,1.49,,,,,,V
CHOCOLATE,PLAMIL,KB169,No Added Sugar Chocolate,Sweetened with Xylitol,6 X 100G,9.08,1,2.42,,,G,,,V
NUTS & SEEDS,PROFUSION,NU166,Crunchy C'mon/Van Hemp Seeds,,6 X 100G,12.11,,2.69,,,,O,S,V
HERB & FRUIT INFUSIONS,PUKKA,TE602,Three Fennel,,4 X 20BAGS,6.87,,2.29,,,G,O,,V
SAUSAGES & BURGERS (FROZEN),QUORN,XL054,Southern Style Burgers,,12 X 252G,21.84,,2.43,,,,,,
BAKING SUNDRIES,THE RAW CHOCOLATE CO,KB050,Cacao Butter,,6 X 240G,35.92,,7.99,,F,G,O,,V
MEATLESS SUBSTITUTES (CHILLED),VBITES,CV667,Lincolnshire Style Sausage,Ready to Eat-Hot or Cold,6 X 295G,10.33,,2.3,,,,,,V
FRUIT JUICE CONCS & CORDIALS,ROCKS,JU167,Cordials Gift Pack - organic,1 each Punch; Ginger; Elder,4 X 3X 360ML,24.88,1,9.95,,,G,O,S,V
SALT & SEASONINGS,MALDON,LJ888,Sea Salt - Flaky Crystals,,12 X 250 G,19.7,,2.19,,,G,,,V
NON-DAIRY DESSERTS (FROZEN),SWEDISH GLACE,XL018,Rich Chocolate,,6 X 750ML,12.4,1,3.29,,,G,,S,V
NUTS & SEEDS,SUMA PREPACKS,NU144,Almonds - ground,,6 X 250G,16.94,,3.75,,,G,,,V
BISCUITS CRACKERS & CRISPBREAD,NATURES STORE,BT161,White Choc Caramel Rice Cakes,,12 X 100G,12.66,1,1.69,,,G,,S,
SUPPLEMENTS & REMEDIES,SCHWABE PHARMA,MD026,Kaloba Syrup,for coughs & colds,1 X 100ML,4.46,1,7.99,,,G,,,V
SUGARS & SYRUPS,SUMA BAGGED DOWN,LJ094,Light Muscovado Sugar,,3 KG,7.99,,,,,G,,S,V
PASTA SAUCES & PESTOS,SUMA,KJ191,Pesto - Green; vegetarian,,6 X 160G,11.66,,2.59,,,G,O,,
PEANUT; SEED & NUT BUTTERS,SUNITA,GH078,Tahini - light,,12 X 340G,23.31,,2.59,,,G,,,V
BISCUITS CRACKERS & CRISPBREAD,TRAIDCRAFT,BT009,Fairtrade Rice Cakes,,6 X 100G,5.05,,1.15,,F,G,,,V
